time,temp,etotal,v_amp
0.0,0.0,-749376.574,-5.25324773e-07
0.1,2.94625416e-10,-749376.574,6.35216624e-06
0.2,2.19181433e-09,-749376.574,-1.86811465e-05
0.3,1.19727864e-08,-749376.574,3.26487624e-05
0.4,4.15387755e-08,-749376.574,-3.05317664e-05
0.5,9.96265379e-08,-749376.574,-1.29154194e-05
0.6,2.24272092e-07,-749376.574,0.000106181927
0.7,5.81930442e-07,-749376.574,-0.000212314861
0.8,1.35866779e-06,-749376.574,0.00025228516
0.9,2.39391939e-06,-749376.574,-0.000160407633
1.0,3.38943708e-06,-749376.574,-4.61349155e-05
1.1,4.54280826e-06,-749376.574,0.000257881351
1.2,6.0903001e-06,-749376.574,-0.000350588641
1.3,7.54062469e-06,-749376.574,0.000283241751
1.4,8.19786442e-06,-749376.574,-0.000122444339
1.5,8.0362071e-06,-749376.574,-2.39437146e-05
1.6,8.2814172e-06,-749376.574,9.09975817e-05
1.7,1.01679371e-05,-749376.574,-8.41115958e-05
1.8,1.14520077e-05,-749376.574,4.62022811e-05
1.9,8.93193995e-06,-749376.574,-1.35797876e-05
2.0,5.91727265e-06,-749376.574,-1.8054851e-06
2.1,7.38245362e-06,-749376.574,4.6653083e-06
2.2,1.04043238e-05,-749376.574,-2.931936e-06
2.3,1.0461724e-05,-749376.574,1.09498999e-06
2.4,9.12050875e-06,-749376.574,-2.18820408e-07
2.5,8.84433526e-06,-749376.574,-1.97804821e-08
2.6,8.7754035e-06,-749376.574,3.47513299e-08
2.7,7.94122964e-06,-749376.574,-1.48488795e-08
2.8,8.27262598e-06,-749376.574,3.77048712e-09
2.9,1.12285629e-05,-749376.574,-5.12298699e-10
3.0,1.25045876e-05,-749376.574,-3.14862122e-11
3.1,8.50670361e-06,-749376.574,3.76099791e-11
3.2,5.1208909e-06,-749376.574,-1.09263086e-11
3.3,7.47230687e-06,-749376.574,1.88636338e-12
3.4,1.08328232e-05,-749376.574,-1.74260624e-13
3.5,1.11284905e-05,-749376.574,-7.28189726e-15
3.6,9.46206196e-06,-749376.574,5.91391853e-15
3.7,6.35447959e-06,-749376.574,-1.16813712e-15
3.8,4.95952008e-06,-749376.574,1.371178e-16
3.9,9.95820499e-06,-749376.574,-8.61223479e-18
4.0,1.5370349e-05,-749376.574,-2.44686078e-19
4.1,1.20029115e-05,-749376.574,1.35110209e-19
4.2,5.70899548e-06,-749376.574,-1.8144908e-20
4.3,5.9181377e-06,-749376.574,1.44811449e-21
4.4,9.40292869e-06,-749376.574,-6.18405067e-23
4.5,1.07909215e-05,-749376.574,-1.19457811e-24
4.6,1.03356132e-05,-749376.574,4.48478447e-25
4.7,8.39653282e-06,-749376.574,-4.09502255e-26
4.8,6.42348224e-06,-749376.574,2.22204343e-27
4.9,7.83123486e-06,-749376.574,-6.45165002e-29
5.0,1.09737674e-05,-749376.574,-8.47345312e-31
5.1,1.09544833e-05,-749376.574,2.16289567e-31
5.2,8.76320635e-06,-749376.574,-1.34276004e-32
5.3,8.18700971e-06,-749376.574,4.95384906e-34
5.4,8.79614246e-06,-749376.574,-9.77933095e-36
5.5,8.86700846e-06,-749376.574,-8.73266683e-38
5.6,9.06684612e-06,-749376.574,1.51554958e-38
5.7,1.02886302e-05,-749376.574,-6.39706998e-40
5.8,1.07407532e-05,-749376.574,1.60462509e-41
5.9,8.29251637e-06,-749376.574,-2.15371419e-43
6.0,5.90194283e-06,-749376.574,-1.30759706e-45
