time,temp,etotal,v_amp
0.0,0.0,-512925.672,-5.25324773e-07
0.1,2.53106399e-10,-512925.672,6.35216624e-06
0.2,1.85715273e-09,-512925.672,-1.86811465e-05
0.3,9.94486662e-09,-512925.672,3.26487624e-05
0.4,3.43357266e-08,-512925.672,-3.05317664e-05
0.5,8.33119921e-08,-512925.672,-1.29154194e-05
0.6,1.90406211e-07,-512925.672,0.000106181927
0.7,4.91324291e-07,-512925.672,-0.000212314861
0.8,1.13449239e-06,-512925.672,0.00025228516
0.9,1.99478009e-06,-512925.671,-0.000160407633
1.0,2.84192431e-06,-512925.671,-4.61349155e-05
1.1,3.82831289e-06,-512925.671,0.000257881351
1.2,5.12261673e-06,-512925.671,-0.000350588641
1.3,6.33796325e-06,-512925.671,0.000283241751
1.4,6.9480642e-06,-512925.671,-0.000122444339
1.5,6.82634483e-06,-512925.671,-2.39437146e-05
1.6,6.75372376e-06,-512925.671,9.09975817e-05
1.7,8.08729648e-06,-512925.671,-8.41115958e-05
1.8,9.73485953e-06,-512925.671,4.62022811e-05
1.9,8.4100272e-06,-512925.671,-1.35797876e-05
2.0,5.39685934e-06,-512925.671,-1.8054851e-06
2.1,5.57624926e-06,-512925.671,4.6653083e-06
2.2,8.18309126e-06,-512925.671,-2.931936e-06
2.3,8.91049673e-06,-512925.671,1.09498999e-06
2.4,7.91011455e-06,-512925.671,-2.18820408e-07
2.5,7.42244968e-06,-512925.671,-1.97804821e-08
2.6,7.25893848e-06,-512925.671,3.47513299e-08
2.7,6.82557586e-06,-512925.671,-1.48488795e-08
2.8,7.48537779e-06,-512925.671,3.77048712e-09
2.9,9.56619715e-06,-512925.671,-5.12298699e-10
3.0,9.59024354e-06,-512925.671,-3.14862122e-11
3.1,6.32010461e-06,-512925.671,3.76099791e-11
3.2,4.78042683e-06,-512925.671,-1.09263086e-11
3.3,7.14771463e-06,-512925.671,1.88636338e-12
3.4,9.19657156e-06,-512925.671,-1.74260624e-13
3.5,9.01266961e-06,-512925.671,-7.28189726e-15
3.6,7.74222811e-06,-512925.671,5.91391853e-15
3.7,5.36120022e-06,-512925.671,-1.16813712e-15
3.8,4.51866005e-06,-512925.671,1.371178e-16
3.9,8.76344273e-06,-512925.671,-8.61223479e-18
4.0,1.27050499e-05,-512925.671,-2.44686078e-19
4.1,9.47736185e-06,-512925.671,1.35110209e-19
4.2,4.71210607e-06,-512925.671,-1.8144908e-20
4.3,5.38670658e-06,-512925.671,1.44811449e-21
4.4,7.97869462e-06,-512925.671,-6.18405067e-23
4.5,8.69272542e-06,-512925.671,-1.19457811e-24
4.6,8.55339648e-06,-512925.671,4.48478447e-25
4.7,7.58211504e-06,-512925.671,-4.09502255e-26
4.8,5.99702082e-06,-512925.671,2.22204343e-27
4.9,6.38167499e-06,-512925.671,-6.45165002e-29
5.0,8.49916101e-06,-512925.671,-8.47345312e-31
5.1,8.96340219e-06,-512925.671,2.16289567e-31
5.2,7.73596255e-06,-512925.671,-1.34276004e-32
5.3,7.1989659e-06,-512925.671,4.95384906e-34
5.4,7.33588349e-06,-512925.671,-9.77933095e-36
5.5,7.3257829e-06,-512925.671,-8.73266683e-38
5.6,7.72735076e-06,-512925.671,1.51554958e-38
5.7,8.67979501e-06,-512925.671,-6.39706998e-40
5.8,8.52318144e-06,-512925.671,1.60462509e-41
5.9,6.50166387e-06,-512925.671,-2.15371419e-43
6.0,5.51260994e-06,-512925.671,-1.30759706e-45
